Time,Position_X,Position_Y,Velocity_X,Velocity_Y,Power,Angle,Force,Rocket_Fuel
2023-05-24 00:01:08,151473222220.55795,8462311.380215945,879.7799683329097,879.7799683329097,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222235.22095,8462817.629281443,879.7790117282449,879.7790117282449,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222249.88394,8463323.87565168,879.7780547574471,879.7780547574471,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222264.5469,8463830.119326666,879.7770974205185,879.7770974205185,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222279.20987,8464336.360306408,879.7761397174625,879.7761397174625,0,2.0,1,2000.0
2023-05-24 00:01:08,151473222293.8728,8464842.598590916,879.7751816482812,879.7751816482812,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222308.53574,8465348.834180197,879.7742232129779,879.7742232129779,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222323.19864,8465855.067074258,879.7732644115547,879.7732644115547,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222337.86154,8466361.29727311,879.7723052440149,879.7723052440149,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222352.5244,8466867.52477676,879.7713457103607,879.7713457103607,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222367.18726,8467373.749585217,879.7703858105954,879.7703858105954,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222381.8501,8467879.971698489,879.7694255447219,879.7694255447219,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222396.5129,8468386.191116584,879.7684649127427,879.7684649127427,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222411.17572,8468892.407839512,879.7675039146609,879.7675039146609,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222425.8385,8469398.62186728,879.7665425504787,879.7665425504787,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222440.50128,8469904.833199896,879.7655808201993,879.7655808201993,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222455.16403,8470411.041837368,879.7646187238249,879.7646187238249,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222469.82678,8470917.247779706,879.7636562613587,879.7636562613587,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222484.4895,8471423.451026918,879.7626934328031,879.7626934328031,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222499.15222,8471929.651579011,879.761730238161,879.761730238161,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222513.8149,8472435.849435994,879.7607666774342,879.7607666774342,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222528.4776,8472942.044597877,879.7598027506256,879.7598027506256,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222543.14026,8473448.237064667,879.7588384577376,879.7588384577376,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222557.80292,8473954.426836371,879.7578737987733,879.7578737987733,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222572.46555,8474460.613913,879.756908773735,879.756908773735,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222587.12817,8474966.798294561,879.7559433826258,879.7559433826258,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222601.79077,8475472.979981063,879.754977625448,879.754977625448,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222616.45337,8475979.158972513,879.7540115022047,879.7540115022047,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222631.11594,8476485.33526892,879.7530450128982,879.7530450128982,0,2.0,1,2000.0
2023-05-24 00:01:09,151473222645.77847,8476991.508870292,879.7520781575315,879.7520781575315,0,2.0,1,2000.0
